Age,Sex,province,education,total_count,education_level
55 to 64,Male,New Brunswick,Apprenticeship or trades certificate or diploma (2016 counts),9575,Apprenticeship or trades certificate or diploma
55 to 64,Male,New Brunswick,"College, CEGEP or other non-university certificate or diploma (2016 counts)",9805,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Male,New Brunswick,University certificate or diploma below bachelor level (2016 counts),865,University certificate or diploma below bachelor level
55 to 64,Female,New Brunswick,"Total - Highest certificate, diploma or degree (2016 counts)",60820,"Highest certificate, diploma or degree"
55 to 64,Female,New Brunswick,"No certificate, diploma or degree (2016 counts)",11690,Other
55 to 64,Female,New Brunswick,Secondary (high) school diploma or equivalency certificate (2016 counts),20905,Secondary (high) school diploma or equivalency certificate
55 to 64,Female,New Brunswick,Apprenticeship or trades certificate or diploma (2016 counts),3555,Apprenticeship or trades certificate or diploma
55 to 64,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma (2016 counts)",14640,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Female,New Brunswick,University certificate or diploma below bachelor level (2016 counts),1665,University certificate or diploma below bachelor level
"All ages, 15-plus",Both sexes,Quebec,"Total - Highest certificate, diploma or degree (2016 counts)",6634280,"Highest certificate, diploma or degree"
"All ages, 15-plus",Both sexes,Quebec,"No certificate, diploma or degree (2016 counts)",1323070,Other
"All ages, 15-plus",Both sexes,Quebec,Secondary (high) school diploma or equivalency certificate (2016 counts),1426980,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Both sexes,Quebec,Apprenticeship or trades certificate or diploma (2016 counts),1120730,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Both sexes,Quebec,"College, CEGEP or other non-university certificate or diploma (2016 counts)",1165515,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Both sexes,Quebec,University certificate or diploma below bachelor level (2016 counts),236255,University certificate or diploma below bachelor level
"All ages, 15-plus",Male,Quebec,"Total - Highest certificate, diploma or degree (2016 counts)",3260040,"Highest certificate, diploma or degree"
"All ages, 15-plus",Male,Quebec,"No certificate, diploma or degree (2016 counts)",674955,Other
"All ages, 15-plus",Male,Quebec,Secondary (high) school diploma or equivalency certificate (2016 counts),674825,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Male,Quebec,Apprenticeship or trades certificate or diploma (2016 counts),681515,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Male,Quebec,"College, CEGEP or other non-university certificate or diploma (2016 counts)",506770,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Male,Quebec,University certificate or diploma below bachelor level (2016 counts),93680,University certificate or diploma below bachelor level
"All ages, 15-plus",Female,Quebec,"Total - Highest certificate, diploma or degree (2016 counts)",3374240,"Highest certificate, diploma or degree"
"All ages, 15-plus",Female,Quebec,"No certificate, diploma or degree (2016 counts)",648110,Other
"All ages, 15-plus",Female,Quebec,Secondary (high) school diploma or equivalency certificate (2016 counts),752155,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Female,Quebec,Apprenticeship or trades certificate or diploma (2016 counts),439215,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Female,Quebec,"College, CEGEP or other non-university certificate or diploma (2016 counts)",658740,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Female,Quebec,University certificate or diploma below bachelor level (2016 counts),142575,University certificate or diploma below bachelor level
25 to 64,Both sexes,Quebec,"Total - Highest certificate, diploma or degree (2016 counts)",4371935,"Highest certificate, diploma or degree"
25 to 64,Both sexes,Quebec,"No certificate, diploma or degree (2016 counts)",580635,Other
25 to 64,Both sexes,Quebec,Secondary (high) school diploma or equivalency certificate (2016 counts),808955,Secondary (high) school diploma or equivalency certificate
25 to 64,Both sexes,Quebec,Apprenticeship or trades certificate or diploma (2016 counts),866595,Apprenticeship or trades certificate or diploma
25 to 64,Both sexes,Quebec,"College, CEGEP or other non-university certificate or diploma (2016 counts)",832430,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Both sexes,Quebec,University certificate or diploma below bachelor level (2016 counts),167025,University certificate or diploma below bachelor level
25 to 64,Male,Quebec,"Total - Highest certificate, diploma or degree (2016 counts)",2167810,"Highest certificate, diploma or degree"
25 to 64,Male,Quebec,"No certificate, diploma or degree (2016 counts)",323880,Other
25 to 64,Male,Quebec,Secondary (high) school diploma or equivalency certificate (2016 counts),396625,Secondary (high) school diploma or equivalency certificate
25 to 64,Male,Quebec,Apprenticeship or trades certificate or diploma (2016 counts),513580,Apprenticeship or trades certificate or diploma
25 to 64,Male,Quebec,"College, CEGEP or other non-university certificate or diploma (2016 counts)",367185,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Male,Quebec,University certificate or diploma below bachelor level (2016 counts),67530,University certificate or diploma below bachelor level
25 to 64,Female,Quebec,"Total - Highest certificate, diploma or degree (2016 counts)",2204125,"Highest certificate, diploma or degree"
25 to 64,Female,Quebec,"No certificate, diploma or degree (2016 counts)",256755,Other
25 to 64,Female,Quebec,Secondary (high) school diploma or equivalency certificate (2016 counts),412330,Secondary (high) school diploma or equivalency certificate
25 to 64,Female,Quebec,Apprenticeship or trades certificate or diploma (2016 counts),353015,Apprenticeship or trades certificate or diploma
25 to 64,Female,Quebec,"College, CEGEP or other non-university certificate or diploma (2016 counts)",465245,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Female,Quebec,University certificate or diploma below bachelor level (2016 counts),99490,University certificate or diploma below bachelor level
25 to 34,Both sexes,Quebec,"Total - Highest certificate, diploma or degree (2016 counts)",1005165,"Highest certificate, diploma or degree"
25 to 34,Both sexes,Quebec,"No certificate, diploma or degree (2016 counts)",105635,Other
25 to 34,Both sexes,Quebec,Secondary (high) school diploma or equivalency certificate (2016 counts),145575,Secondary (high) school diploma or equivalency certificate
25 to 34,Both sexes,Quebec,Apprenticeship or trades certificate or diploma (2016 counts),210715,Apprenticeship or trades certificate or diploma
25 to 34,Both sexes,Quebec,"College, CEGEP or other non-university certificate or diploma (2016 counts)",191435,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Both sexes,Quebec,University certificate or diploma below bachelor level (2016 counts),31175,University certificate or diploma below bachelor level
25 to 34,Male,Quebec,"Total - Highest certificate, diploma or degree (2016 counts)",499825,"Highest certificate, diploma or degree"
25 to 34,Male,Quebec,"No certificate, diploma or degree (2016 counts)",65410,Other
25 to 34,Male,Quebec,Secondary (high) school diploma or equivalency certificate (2016 counts),81515,Secondary (high) school diploma or equivalency certificate
25 to 34,Male,Quebec,Apprenticeship or trades certificate or diploma (2016 counts),128180,Apprenticeship or trades certificate or diploma
25 to 34,Male,Quebec,"College, CEGEP or other non-university certificate or diploma (2016 counts)",83535,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Male,Quebec,University certificate or diploma below bachelor level (2016 counts),11980,University certificate or diploma below bachelor level
25 to 34,Female,Quebec,"Total - Highest certificate, diploma or degree (2016 counts)",505345,"Highest certificate, diploma or degree"
25 to 34,Female,Quebec,"No certificate, diploma or degree (2016 counts)",40225,Other
25 to 34,Female,Quebec,Secondary (high) school diploma or equivalency certificate (2016 counts),64065,Secondary (high) school diploma or equivalency certificate
25 to 34,Female,Quebec,Apprenticeship or trades certificate or diploma (2016 counts),82535,Apprenticeship or trades certificate or diploma
25 to 34,Female,Quebec,"College, CEGEP or other non-university certificate or diploma (2016 counts)",107900,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Female,Quebec,University certificate or diploma below bachelor level (2016 counts),19195,University certificate or diploma below bachelor level
35 to 44,Both sexes,Quebec,"Total - Highest certificate, diploma or degree (2016 counts)",1050950,"Highest certificate, diploma or degree"
35 to 44,Both sexes,Quebec,"No certificate, diploma or degree (2016 counts)",104290,Other
35 to 44,Both sexes,Quebec,Secondary (high) school diploma or equivalency certificate (2016 counts),146730,Secondary (high) school diploma or equivalency certificate
35 to 44,Both sexes,Quebec,Apprenticeship or trades certificate or diploma (2016 counts),213730,Apprenticeship or trades certificate or diploma
35 to 44,Both sexes,Quebec,"College, CEGEP or other non-university certificate or diploma (2016 counts)",216170,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Both sexes,Quebec,University certificate or diploma below bachelor level (2016 counts),43305,University certificate or diploma below bachelor level
35 to 44,Male,Quebec,"Total - Highest certificate, diploma or degree (2016 counts)",522505,"Highest certificate, diploma or degree"
35 to 44,Male,Quebec,"No certificate, diploma or degree (2016 counts)",61410,Other
35 to 44,Male,Quebec,Secondary (high) school diploma or equivalency certificate (2016 counts),80575,Secondary (high) school diploma or equivalency certificate
35 to 44,Male,Quebec,Apprenticeship or trades certificate or diploma (2016 counts),125995,Apprenticeship or trades certificate or diploma
35 to 44,Male,Quebec,"College, CEGEP or other non-university certificate or diploma (2016 counts)",97685,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Male,Quebec,University certificate or diploma below bachelor level (2016 counts),17525,University certificate or diploma below bachelor level
35 to 44,Female,Quebec,"Total - Highest certificate, diploma or degree (2016 counts)",528445,"Highest certificate, diploma or degree"
